Column1,OBJECT_ID,ALERT_TYPE,ACTIVE_MUWI,OFFSET_MUWI,ALERT_TIME,ELAPSED_TIME(Tn-T0) in Min,SAND,FLUID_VOLUME,ACTIVE_TUBE_PRESSURE - Only For Offset,ACTIVE_CASE_PRESSURE - Only For Offset,THRESHOLD_TUBE_PRESSURE - Only For Offset,THRESHOLD_CASE_PRESSURE - Only For Offset,SAND_CONC,IS_ACKNOWLEDGED,SEVERITY,IS_VALID,ACTIVE_WELL,OFFSET_WELL - Only for Offset Alert,STAGE,DETECTED_COST_ESTIMATE- for Cost Alert,DETECTED_COST_PLANNED- for Cost Alert,COST_OVERRUN_THRESHOLD - for Cost Alert,SLURRY_RATE_THRESHOLD,WH_PRESSURE_INCREASE_THRESHOLD,TOTAL_SAND_THRESHOLD,WH_SAND_CONC_THRESHOLD,SLURRY_RATE_INCREASE_THRESHOLD,DETECTED_SLURRY_RATE,DETECTED_WH_PRESSURE
11,17765fc7c4764cd2a5d674c9a180b470,Screen Out,9264225500000000NEK0133H1,,14-02-2021 01:09,142,181778.7031,5309.237793,,,,,1.677,FALSE,,TRUE,Joe Burreaux Unit 2H,,25,,,,40,100,25000,0.2,3,92.307999,10472.81348
12,3594d9e588354229b797d3013c975555,Screen Out,9264225500000000SWK0203H1,,10-02-2021 11:48,188,305516.52,6709.319,,,,,2.251,FALSE,,TRUE,Armand Unit AC3H,,10,,,,40,100,25000,0.2,3,82.095,10504.137
13,313b52ba6eef4d9da1cccabe4af61f12,Screen Out,9264225500000000NEK0076H1,,15-01-2021 04:38,181,268539.043,6078.262,,,,,2.504,FALSE,,TRUE,JOG UNIT 10H,,5,,,,40,100,25000,0.2,3,81.484,10080.157
14,5abbfd7957124ffbb3e4578447ab2c51,Screen Out,9264225500000000NEK0076H1,,15-01-2021 04:45,188,315538.79,6599.282,,,,,2.566,FALSE,,TRUE,JOG UNIT 10H,,5,,,,40,100,25000,0.2,3,81.962,10104.985
15,2fba9dab6fa5495ca448b11ab554cec5,Screen Out,9264225500000000NEK0129H1,,15-01-2021 10:49,794,50472.76953,3005.672119,,,,,0.722,FALSE,,TRUE,JOG UNIT 15H,,7,,,,40,100,25000,0.2,3,90.629997,10618.125
16,943a3574607c4334a82df8621b5cdf69,Screen Out,9264225500000000NEK0129H1,,15-01-2021 16:53,137,32935.81641,2201.374023,,,,,0.699,FALSE,,TRUE,JOG UNIT 15H,,8,,,,40,100,25000,0.2,3,89.108002,10647.18848
17,6021c5297bb84911b2806c55f396781b,Screen Out,9264225500000000NEK0129H1,,15-01-2021 17:23,167,152121.2656,4755.203125,,,,,1.247,FALSE,,TRUE,JOG UNIT 15H,,8,,,,40,100,25000,0.2,3,90.851997,10652.81348
18,598b50bdb5ae4001a58ec7625a7fda7a,Screen Out,9264225500000000NEK0078H1,,15-01-2021 17:58,223,123202.234,4054.774,,,,,1.669,FALSE,,TRUE,JOG UNIT 9H,,1,,,,40,100,25000,0.2,3,70.797,10572.032
19,587e4b06ac2543f79289f3413d3a4b31,Screen Out,9264225500000000NEK0078H1,,15-01-2021 18:02,227,142111.386,4364.808,,,,,1.813,FALSE,,TRUE,JOG UNIT 9H,,1,,,,40,100,25000,0.2,3,72.94,10560.205
20,3e31df490d474193824da9ad815bda79,Screen Out,9264225500000000NEK0078H1,,15-01-2021 18:28,253,269688.975,6069.352,,,,,2.418,FALSE,,TRUE,JOG UNIT 9H,,1,,,,40,100,25000,0.2,3,72.585,10536.264
21,daa8ab9fc0f74039a89d9c1ac8398fc1,Screen Out,9264225500000000NEK0078H1,,15-01-2021 18:29,254,275444.361,6135.515,,,,,2.43,FALSE,,TRUE,JOG UNIT 9H,,1,,,,40,100,25000,0.2,3,72.462,10640.358
22,c296f03df829411dad75c3c1c68706d8,Screen Out,9264225500000000NEK0078H1,,15-01-2021 18:51,276,288870.708,7296.766,,,,,0.228,FALSE,,TRUE,JOG UNIT 9H,,1,,,,40,100,25000,0.2,3,50.652,10845.495
23,64fb1fc1d76846719d2514a959fbec69,Screen Out,9264225500000000NEK0085H1,,23-01-2021 06:51,162,164408.38,5496.885,,,,,1.553,FALSE,,TRUE,JOG UNIT 16H,,12,,,,40,100,25000,0.2,3,81.551,10222.301
24,75c2c9e3ba784c55959a6a367d885390,Screen Out,9264225500000000NEK0134H1,,22-01-2021 18:40,156,61982.36719,3112.141113,,,,,0.846,FALSE,,TRUE,Joe Burreaux Unit 3H,,26,,,,40,100,25000,0.2,3,88.813004,9746.25
25,164f446ac7f147a7a7a59017be874ffa,Screen Out,9264225500000000NEK0076H1,,19-01-2021 23:10,113,29478.418,1918.416,,,,,0.698,FALSE,,TRUE,JOG UNIT 10H,,11,,,,40,100,25000,0.2,3,79.541,10112.055
26,77a91adf69b64e24996838819dba0d39,Screen Out,9264225500000000NEK0129H1,,19-01-2021 23:13,193,338400.9375,7040.893066,,,,,1.666,FALSE,,TRUE,JOG UNIT 15H,,19,,,,40,100,25000,0.2,3,88.458,9717.188477
27,94c5e1ecc1bb48238fa7b2cc74b8b56b,Screen Out,9264225500000000NEK0076H1,,19-01-2021 23:22,125,62992.081,2845.121,,,,,1.055,FALSE,,TRUE,JOG UNIT 10H,,11,,,,40,100,25000,0.2,3,81.322,10352.837
28,1169e3ed497c46b78685e322fb822a2d,Screen Out,9264225500000000NEK0076H1,,19-01-2021 23:25,128,73675.198,3087.231,,,,,1.148,FALSE,,TRUE,JOG UNIT 10H,,11,,,,40,100,25000,0.2,3,81.159,10520.206
29,911b116eb5ed406c886f6ffaddd9a247,Screen Out,9264225500000000NEK0134H1,,15-01-2021 19:41,129,121885.3281,3966.583252,,,,,0.843,FALSE,,TRUE,Joe Burreaux Unit 3H,,8,,,,40,100,25000,0.2,3,91.626999,9902.813477
30,b0ea7fe82e3a40a19d0761d7c2418102,Screen Out,9264225500000000NEK0138H1,,15-01-2021 22:47,182,120073.441,6426.378,,,,,1.284,FALSE,,TRUE,JOG UNIT 8H,,7,,,,40,100,25000,0.2,3,80.548,10173.543
31,3217cc97c74a4d96b7c46ab14d7eaeb3,Screen Out,9264225500000000NEK0076H1,,16-01-2021 01:47,169,252887.431,5814.791,,,,,2.184,FALSE,,TRUE,JOG UNIT 10H,,7,,,,40,100,25000,0.2,3,82.114,10837.214
32,230e6857854e47cd8ce842c47e362f3e,Screen Out,9264225500000000NEK0129H1,,16-01-2021 08:02,109,27817.33203,1907.717896,,,,,0.546,FALSE,,TRUE,JOG UNIT 15H,,10,,,,40,100,25000,0.2,3,89.758003,10647.18848
33,eee817038dd54088b674863978dbfdc6,Screen Out,9264225500000000NEK0134H1,,16-01-2021 11:24,161,111016.9688,3990.01123,,,,,1.359,FALSE,,TRUE,Joe Burreaux Unit 3H,,10,,,,40,100,25000,0.2,3,90.427002,9718.970703
34,2b0954240d7f4de798f2caafbbd42cc8,Screen Out,9264225500000000NEK0134H1,,16-01-2021 11:28,165,129095.7813,4329.455078,,,,,1.454,FALSE,,TRUE,Joe Burreaux Unit 3H,,10,,,,40,100,25000,0.2,3,90.268997,9748.075195
35,6be29b328cd84cd28d9b784907df724f,Screen Out,9264225500000000NEK0134H1,,16-01-2021 11:57,194,298766.8125,6768.560059,,,,,2.31,FALSE,,TRUE,Joe Burreaux Unit 3H,,10,,,,40,100,25000,0.2,3,89.694,9398.823242
36,a22afe73312948c3a58f896b2f265193,Screen Out,9264225500000000NEK0134H1,,16-01-2021 11:59,196,312752.375,6933.163086,,,,,2.261,FALSE,,TRUE,Joe Burreaux Unit 3H,,10,,,,40,100,25000,0.2,3,90.164001,9678.600586
37,b3f987e9496b4b6cae1ba3983c23d272,Screen Out,9264225500000000NEK0134H1,,16-01-2021 12:00,197,319897.25,7015.943359,,,,,2.285,FALSE,,TRUE,Joe Burreaux Unit 3H,,10,,,,40,100,25000,0.2,3,91.445999,9800.651367
38,a00847df394b413892e0c0cd953ab760,Screen Out,9264225500000000NEK0134H1,,16-01-2021 12:19,216,461371.5625,8594.595703,,,,,0.518,FALSE,,TRUE,Joe Burreaux Unit 3H,,10,,,,40,100,25000,0.2,3,89.199997,9777.179688
39,aa4b095431a7421e8ff99bef65996e11,Screen Out,9264225500000000NEK0129H1,,16-01-2021 14:48,178,45907.03125,2515.531982,,,,,0.794,FALSE,,TRUE,JOG UNIT 15H,,11,,,,40,100,25000,0.2,3,88.781998,10575.20215
40,03c28079c6fa4fc5b630efaad206e4f4,Screen Out,9264225500000000NEK0129H1,,16-01-2021 14:54,184,65583.51563,3023.106934,,,,,1.016,FALSE,,TRUE,JOG UNIT 15H,,11,,,,40,100,25000,0.2,3,90.011002,10557.36328
41,959627f62f1949d1b56b49f05dd3917e,Screen Out,9264225500000000NEK0129H1,,16-01-2021 15:08,198,125748.0078,4218.551758,,,,,1.384,FALSE,,TRUE,JOG UNIT 15H,,11,,,,40,100,25000,0.2,3,90.563004,10655.94238
42,e86c52768d504f98bd6488842269f6b1,Screen Out,9264225500000000NEK0134H1,,16-01-2021 21:07,137,123566.0391,4048.270996,,,,,1.291,FALSE,,TRUE,Joe Burreaux Unit 3H,,11,,,,40,100,25000,0.2,3,88.014999,10219.37793
43,a2d0108ea1474dd180fc5c77a290f393,Screen Out,9264225500000000NEK0134H1,,16-01-2021 21:08,138,128362.7813,4132.366211,,,,,1.269,FALSE,,TRUE,Joe Burreaux Unit 3H,,11,,,,40,100,25000,0.2,3,89.906998,10371.4707
44,ea5dc0db55fc4a058aa80e8ca9d65d5d,Screen Out,9264225500000000NEK0129H1,,17-01-2021 03:22,360,283972.25,6390.835938,,,,,2.342,FALSE,,TRUE,JOG UNIT 15H,,12,,,,40,100,25000,0.2,3,85.711998,10002.18848
45,7a5402c0a1834c669a2f361511a74869,Screen Out,9264225500000000NEK0129H1,,17-01-2021 03:36,374,388027.75,7487.285156,,,,,2.305,FALSE,,TRUE,JOG UNIT 15H,,12,,,,40,100,25000,0.2,3,88.874001,10182.18848
46,47cfa8c502c8400aa0bc0812d8b700b5,Screen Out,9264225500000000NEK0129H1,,17-01-2021 03:37,375,396212.9375,7570.661133,,,,,2.454,FALSE,,TRUE,JOG UNIT 15H,,12,,,,40,100,25000,0.2,3,90.333,10309.68848
47,5ee817545653433383e242649eb4e6cc,Screen Out,9264225500000000NEK0129H1,,17-01-2021 03:38,376,398615.375,7660.964844,,,,,1.844,FALSE,,TRUE,JOG UNIT 15H,,12,,,,40,100,25000,0.2,3,89.841003,10513.125
48,1d2d608600ce4c46abfddd09d4d7647b,Screen Out,9264225500000000NEK0126H1,,17-01-2021 05:12,123,56492.82422,2696.187988,,,,,0.96,FALSE,,TRUE,JOG UNIT 14H,,6,,,,40,100,25000,0.2,3,86.165001,10740
49,2584a5f920ec4929aac76ee385f10527,Screen Out,9264225500000000NEK0126H1,,17-01-2021 06:13,184,410253.625,7748.280762,,,,,0.623,FALSE,,TRUE,JOG UNIT 14H,,6,,,,40,100,25000,0.2,3,89.699997,10710.93848
50,641e67d7284c4ef6ad327b2e1f8de0f2,Screen Out,9264225500000000NEK0134H1,,17-01-2021 08:41,180,437003.6875,8290.146484,,,,,1.949,FALSE,,TRUE,Joe Burreaux Unit 3H,,12,,,,40,100,25000,0.2,3,91.014,10333.125
51,cb39230886a1411fbe44f6702e7d5566,Screen Out,9264225500000000NEK0129H1,,17-01-2021 12:03,235,448265.4063,8190.453125,,,,,1.193,FALSE,,TRUE,JOG UNIT 15H,,13,,,,40,100,25000,0.2,3,88.997002,10309.68848
52,5849b2dce37741e3b818bd1e7415ae88,Screen Out,9264225500000000NEK0126H1,,17-01-2021 14:42,190,235858.9375,5704.770508,,,,,1.824,FALSE,,TRUE,JOG UNIT 14H,,7,,,,40,100,25000,0.2,3,83.980003,10228.125
53,8276907e1bb142a69f2277383d272df6,Screen Out,9264225500000000NEK0129H1,,17-01-2021 20:14,138,41134.60156,2374.12207,,,,,0.701,FALSE,,TRUE,JOG UNIT 15H,,14,,,,40,100,25000,0.2,3,90.106003,10489.68848
54,b61179056937495f9794bd406adb8330,Screen Out,9264225500000000NEK0126H1,,17-01-2021 22:42,114,61231.26172,2787.778076,,,,,1.102,FALSE,,TRUE,JOG UNIT 14H,,8,,,,40,100,25000,0.2,3,89.184998,10647.18848
55,e89be308b0ef4ed9a20713d4faebf99e,Screen Out,9264225500000000NEK0124H1,,11-02-2021 02:07,111,33214.27344,2072.707031,,,,,0.722,FALSE,,TRUE,Joe Burreaux Unit 1H,,19,,,,40,100,25000,0.2,3,92.68,9908.438477
56,e582ea85e0004f09949840a07a2d0612,Screen Out,9264225500000000NEK0124H1,,11-02-2021 02:14,118,53889.94141,2700.069092,,,,,0.814,FALSE,,TRUE,Joe Burreaux Unit 1H,,19,,,,40,100,25000,0.2,3,97.706001,10291.875
57,da2db9fe74424cadaa95973e611a439c,Screen Out,9264225500000000SWK0203H1,,11-02-2021 03:12,134,77558.296,3365.64,,,,,1.015,FALSE,,TRUE,Armand Unit AC3H,,11,,,,40,100,25000,0.2,3,84.385,9293.5
58,082135d21c684357a8338595a300b4dd,Screen Out,9264225500000000NEK0124H1,,11-02-2021 03:13,177,426412.1563,8043.056152,,,,,2.614,FALSE,,TRUE,Joe Burreaux Unit 1H,,19,,,,40,100,25000,0.2,3,98.975998,9484.688477
59,65974a41de96445c863dc90fbf03deb1,Screen Out,9264225500000000NEK0133H1,,11-02-2021 04:44,115,46907.33594,2467.698975,,,,,0.801,FALSE,,TRUE,Joe Burreaux Unit 2H,,19,,,,40,100,25000,0.2,3,93.417,10391.25
60,38eaa29f45254e2db624dbc75accae22,Screen Out,9264225500000000NEK0133H1,,11-02-2021 04:45,117,50932.80859,2583.556885,,,,,0.855,FALSE,,TRUE,Joe Burreaux Unit 2H,,19,,,,40,100,25000,0.2,3,95.278999,10496.25
61,bd8c52d3e42f4be1b8e29ddc6929236e,Screen Out,9264225500000000NEK0133H1,,11-02-2021 05:34,166,321022.5313,6912.221191,,,,,2.629,FALSE,,TRUE,Joe Burreaux Unit 2H,,19,,,,40,100,25000,0.2,3,92.796997,10071.56348
62,9a2f672e01874af3aa98f3eded398497,Screen Out,9264225500000000NEK0129H1,,23-01-2021 22:26,161,190030.0313,5347.663086,,,,,1.666,FALSE,,TRUE,JOG UNIT 15H,,30,,,,40,100,25000,0.2,3,89.519997,9432.188477
63,4ad7ccde4f5140aa8ec2d4a9bb9f24a9,Screen Out,9264225500000000NEK0076H1,,24-01-2021 00:14,220,366732.786,7009.695,,,,,2.222,FALSE,,TRUE,JOG UNIT 10H,,19,,,,40,100,25000,0.2,3,81.773,9986.033
64,17bafca41d30491db0d81d8de1f72ef8,Screen Out,9264225500000000SWK0203H1,,13-02-2021 00:51,35,27083.599,1925.619,,,,,0.6,FALSE,,TRUE,Armand Unit AC3H,,16,,,,40,100,25000,0.2,3,86.824,9486.007
65,e7e4d42c090844b3ba8ed55fc20ed397,Screen Out,9264225500000000SWK0203H1,,13-02-2021 00:53,37,31577.881,2083.672,,,,,0.687,FALSE,,TRUE,Armand Unit AC3H,,16,,,,40,100,25000,0.2,3,91.055,9992.204
66,b690034c37084321a96eb838d10cda6d,Screen Out,9264225500000000NEK0078H1,,20-01-2021 14:29,203,439601.059,7758.207,,,,,0.208,FALSE,,TRUE,JOG UNIT 9H,,3,,,,40,100,25000,0.2,3,76.863,10555.245
67,8da05b8d9c8149ff864a76047637b45f,Screen Out,9264225500000000NEK0138H1,,19-01-2021 10:10,6980,47062.299,2815.943,,,,,0.708,FALSE,,TRUE,JOG UNIT 8H,,4,,,,40,100,25000,0.2,3,83.069,10452.245
68,15ac52ffa54940b7a08496d1bb4c46f7,Screen Out,9264225500000000NEK0126H1,,19-01-2021 10:26,318,414108.5938,7896.170898,,,,,1.068,FALSE,,TRUE,JOG UNIT 14H,,11,,,,40,100,25000,0.2,3,90.252998,10467.18848
69,64e8dffe3a034c8ca620a4d70b74f4a1,Screen Out,9264225500000000NEK0138H1,,20-01-2021 15:28,100,34293.973,2118.177,,,,,1.072,FALSE,,TRUE,JOG UNIT 8H,,13,,,,40,100,25000,0.2,3,78.385,10108.992
70,1b7ecf094d72412ebe2c3c8394e9673f,Screen Out,9264225500000000NEK0129H1,,20-01-2021 15:29,97,34849.43359,2323.873047,,,,,0.626,FALSE,,TRUE,JOG UNIT 15H,,21,,,,40,100,25000,0.2,3,91.507004,9885
71,7416d29a657b47faac5839abf7e01fbb,Screen Out,9264225500000000NEK0129H1,,20-01-2021 16:08,136,199016.9219,5677.417969,,,,,1.666,FALSE,,TRUE,JOG UNIT 15H,,21,,,,40,100,25000,0.2,3,89.112,9688.125
72,3a6dd93c4ff24d438fef7c6dc9b22c56,Screen Out,9264225500000000NEK0133H1,,10-02-2021 18:43,549,242876.4219,6339.323242,,,,,1.949,FALSE,,TRUE,Joe Burreaux Unit 2H,,18,,,,40,100,25000,0.2,3,97.007004,10890
73,7907ba1585f942f5840409f7be1a7b02,Screen Out,9264225500000000NEK0065H1,,08-01-2021 21:34,354,99848.38,3805.657,,,,,1.339,FALSE,,TRUE,Jog Unit 7H,,21R,,,,40,100,25000,0.2,3,63.496,8143.622
74,aa66d25879524584a3e3b58c60b7df18,Screen Out,9264225500000000NEK0065H1,,08-01-2021 21:36,356,106327.006,3923.208,,,,,1.436,FALSE,,TRUE,Jog Unit 7H,,21R,,,,40,100,25000,0.2,3,64.213,8337.478
75,1cfed7bfd30c474286bd60f3f4eb11f5,Screen Out,9264225500000000NEK0065H1,,08-01-2021 21:38,358,112888.271,4038.158,,,,,1.458,FALSE,,TRUE,Jog Unit 7H,,21R,,,,40,100,25000,0.2,3,65.529,8182.212
76,a75a9cd4f04c4cb9aeee52a3b45ffcb8,Screen Out,9264225500000000NEK0065H1,,09-01-2021 14:13,315,35651.778,2098.919,,,,,0.895,FALSE,,TRUE,Jog Unit 7H,,24R,,,,40,100,25000,0.2,3,62.691,8890.016
77,7def619b6bb34afba6d5458bedcee1fd,Screen Out,9264225500000000NEK0065H1,,10-01-2021 13:41,394,181680.671,5296.238,,,,,1.705,FALSE,,TRUE,Jog Unit 7H,,28R,,,,40,100,25000,0.2,3,64.321,7359.239
78,0163a19ca6634c69a1b072130ac585d2,Screen Out,9264225500000000NEK0065H1,,11-01-2021 04:19,254,55199.535,2657.075,,,,,0.84,FALSE,,TRUE,Jog Unit 7H,,31R,,,,40,100,25000,0.2,3,63.709,7461.275
79,7519c532db8348808a86c0d83d93a431,Screen Out,9264225500000000NEK0134H1,,12-01-2021 20:59,192,305507.8125,7921.264648,,,,,2.073,FALSE,,TRUE,Joe Burreaux Unit 3H,,1,,,,40,100,25000,0.2,3,80.251999,9810
80,a585c1d916354e6b972d3c64cbd1dd30,Screen Out,9264225500000000NEK0129H1,,12-01-2021 23:10,135,41724.80469,2348.136963,,,,,0.925,FALSE,,TRUE,JOG UNIT 15H,,2,,,,40,100,25000,0.2,3,85.579002,10577.81348
81,b207754ecd9d4df99509c742aceb86c3,Screen Out,9264225500000000NEK0126H1,,13-01-2021 02:24,144,49772.37891,2570.689941,,,,,0.837,FALSE,,TRUE,JOG UNIT 14H,,2,,,,40,100,25000,0.2,3,81.078003,10827.18848
82,d93e9a704cb34cc5b0c0710c6873fc30,Screen Out,9264225500000000NEK0126H1,,13-01-2021 02:29,149,64860.30469,2962.189941,,,,,0.92,FALSE,,TRUE,JOG UNIT 14H,,2,,,,40,100,25000,0.2,3,82.292999,10815
83,8b4d2cac35784befabb89f8d4ebe0de7,Screen Out,9264225500000000NEK0126H1,,13-01-2021 02:47,167,136605.4375,4395.87207,,,,,0.614,FALSE,,TRUE,JOG UNIT 14H,,2,,,,40,100,25000,0.2,3,81.289001,10635
84,bee5085ddda04a2db3160423a6a95d5a,Screen Out,9264225500000000NEK0126H1,,13-01-2021 02:53,173,164257.1563,4837.478027,,,,,1.579,FALSE,,TRUE,JOG UNIT 14H,,2,,,,40,100,25000,0.2,3,81.825996,10618.125
85,256baef5f8b7477aa74c50aa0f9ab97a,Screen Out,9264225500000000NEK0126H1,,13-01-2021 03:35,215,435821.4688,8050.823242,,,,,1.646,FALSE,,TRUE,JOG UNIT 14H,,2,,,,40,100,25000,0.2,3,81.917999,10756.875
86,6d74ba2123ae46a6ae260a0f7d4853e8,Screen Out,9264225500000000NEK0134H1,,13-01-2021 05:09,125,31839.48633,2121.528076,,,,,0.676,FALSE,,TRUE,Joe Burreaux Unit 3H,,2,,,,40,100,25000,0.2,3,81.639,10751.25
87,2d56dcfc23f0417cae392da7e9decce3,Screen Out,9264225500000000NEK0134H1,,13-01-2021 05:18,134,55128.13281,2835.157959,,,,,0.837,FALSE,,TRUE,Joe Burreaux Unit 3H,,2,,,,40,100,25000,0.2,3,82.957001,10716.56348
88,332cf58a8d7046d7ac9a6ad764dd54c3,Screen Out,9264225500000000NEK0134H1,,13-01-2021 05:38,154,129227.8984,4420.555176,,,,,1.214,FALSE,,TRUE,Joe Burreaux Unit 3H,,2,,,,40,100,25000,0.2,3,84.575996,10640.625
89,937ff709c0384f7692e554857e0096fc,Screen Out,9264225500000000NEK0134H1,,13-01-2021 05:39,155,133766.0156,4501.313965,,,,,1.279,FALSE,,TRUE,Joe Burreaux Unit 3H,,2,,,,40,100,25000,0.2,3,86.799004,10756.875
90,00a25c7c884147c79817f1d4ae990753,Screen Out,9264225500000000NEK0129H1,,13-01-2021 08:03,122,26628.33984,1703.435059,,,,,0.494,FALSE,,TRUE,JOG UNIT 15H,,3,,,,40,100,25000,0.2,3,81.517998,10785.93848
91,651e966c0c1f4b24bda6dc90b80f3194,Screen Out,9264225500000000NEK0134H1,,13-01-2021 12:13,193,142419.9219,4933.495117,,,,,1.737,FALSE,,TRUE,Joe Burreaux Unit 3H,,3,,,,40,100,25000,0.2,3,84.460999,10571.25
92,473ac1e0edf84660a20d49f412c76847,Screen Out,9264225500000000NEK0134H1,,13-01-2021 15:12,372,76613.89063,3300.750977,,,,,1.079,FALSE,,TRUE,Joe Burreaux Unit 3H,,3,,,,40,100,25000,0.2,3,81.813004,10640.625
93,c6d2734a08024d40a7842bae68865482,Screen Out,9264225500000000NEK0134H1,,13-01-2021 15:27,387,133882.5,4473.964844,,,,,1.442,FALSE,,TRUE,Joe Burreaux Unit 3H,,3,,,,40,100,25000,0.2,3,84.227997,10669.68848
94,663986c0d402406e91511756f0364e33,Screen Out,9264225500000000NEK0134H1,,13-01-2021 15:49,409,249781.9531,6216.053711,,,,,1.792,FALSE,,TRUE,Joe Burreaux Unit 3H,,3,,,,40,100,25000,0.2,3,86.027,10658.43848
95,9e47b9ff7e0845f2886aafb12f5d8f94,Screen Out,9264225500000000NEK0134H1,,13-01-2021 15:57,417,301057.75,6853.370117,,,,,1.925,FALSE,,TRUE,Joe Burreaux Unit 3H,,3,,,,40,100,25000,0.2,3,86.292999,10640.625
96,4a6e9a1f32d14779af18a78a254203d0,Screen Out,9264225500000000NEK0129H1,,13-01-2021 18:59,187,247635.3906,6357.839844,,,,,0.961,FALSE,,TRUE,JOG UNIT 15H,,4,,,,40,100,25000,0.2,3,80.293999,10705.31348
97,87c8b4f134db4d50b19affb1fb984a35,Screen Out,9264225500000000NEK0129H1,,13-01-2021 19:05,193,287275.5,6810.664063,,,,,2.007,FALSE,,TRUE,JOG UNIT 15H,,4,,,,40,100,25000,0.2,3,82.196999,10455
98,cec416d339e64cd9a9a79c5f316fcb4e,Screen Out,9264225500000000NEK0129H1,,13-01-2021 19:22,210,408101.9688,8079.369629,,,,,0.498,FALSE,,TRUE,JOG UNIT 15H,,4,,,,40,100,25000,0.2,3,81.721001,10792.5
99,57583f3e106b49968bf438ae94e903fc,Screen Out,9264225500000000NEK0138H1,,13-01-2021 19:41,647,189226.827,5448.691,,,,,1.762,FALSE,,TRUE,JOG UNIT 8H,,1,,,,40,100,25000,0.2,3,78.457,8692.394
100,abe367d4a6e045f39a6ecbabe7ef0e23,Screen Out,9264225500000000NEK0138H1,,13-01-2021 19:42,648,194601.332,5524.505,,,,,1.779,FALSE,,TRUE,JOG UNIT 8H,,1,,,,40,100,25000,0.2,3,80.302,8805.575
